"id","natemis_number","name","natemis_quintile","natemis_province_id"
100000562,100000562,"BIZWENI PRIMARY SCHOOL","Q5","base.state_za_wc"
100000563,100000563,"RENAISSANCE PRIVATE SCHOOL","Q2","base.state_za_wc"
100000570,100000570,"MCKINLAY REID INTERNATIONAL ACADEMY","Q2","base.state_za_wc"
100000573,100000573,"LOVE WALK CHRISTIAN ACADEMY PRIMARY","Q2","base.state_za_wc"
100000574,100000574,"CURRO SOMERSET WEST","Q2","base.state_za_wc"
100000575,100000575,"RAPHAELI WALDORF SCHOOL","Q2","base.state_za_wc"
100000577,100000577,"JAKES GERWEL TECHNICAL SCHOOL","Q2","base.state_za_wc"
100000578,100000578,"TRINITY CHILDREN'S CENTRE","Q2","base.state_za_wc"
100000579,100000579,"BAHIA FORMOSA SCHOOL","Q2","base.state_za_wc"
100000580,100000580,"LIGHTHOUSE ACADEMY","Q2","base.state_za_wc"
100000581,100000581,"DANIEL ACADEMY","Q2","base.state_za_wc"
100000582,100000582,"PROTEA HOﾋRSKOOL","Q3","base.state_za_wc"
100000583,100000583,"MONTGOMERY AND MILLER ACADEMY","N/A","base.state_za_wc"
100000584,100000584,"LA VIGNE EDUCATIONAL HOUSE","Q5","base.state_za_wc"
100000585,100000585,"ZWELETHEMBA HIGH SCHOOL","Q1","base.state_za_wc"
100000586,100000586,"SOMERSET HIGH SCHOOL","Q4","base.state_za_wc"
100000587,100000587,"LINGOMSO PRIMARY SCHOOL","Q5","base.state_za_wc"
100000593,100000593,"EKUKHANYISELWENI CHRISTIAN SCHOOL","Q2","base.state_za_wc"
100000594,100000594,"MOUNTAIN VIEW ACADEMY - MONTE VISTA","N/A","base.state_za_wc"
100000598,100000598,"THE SUSTAINABILITY INSTITUTE TRUST OPER","Q5","base.state_za_wc"
100000599,100000599,"MIDDELPOS PRIMARY SCHOOL","Q4","base.state_za_wc"
100000601,100000601,"UBUNTU FOOTBALL ACADEMY","Q2","base.state_za_wc"
100000602,100000602,"SOLOMON MAHLANGU PRIMARY SCHOOL","Q3","base.state_za_wc"
100000605,100000605,"CHAMELEON SCHOOLS","Q2","base.state_za_wc"
100000607,100000607,"ITHEMBA PRIMARY SCHOOL","Q4","base.state_za_wc"
100000608,100000608,"CURRO UITZICHT INDEPENDENT SCHOOL","Q2","base.state_za_wc"
100000609,100000609,"APEX HIGH SCHOOL","Q5","base.state_za_wc"
100000613,100000613,"INKANINI PRIMARY SCHOOL","Q3","base.state_za_wc"
100000614,100000614,"FALSE BAY PRIMARY SCHOOL","Q5","base.state_za_wc"
100000617,100000617,"CALLING EDUCATION NPC TRADING AS CALLIN","Q2","base.state_za_wc"
100000618,100000618,"ESSENHOUT PRIMARY SCHOOL","Q4","base.state_za_wc"
100000620,100000620,"THE KUSASA PROJECT","Q2","base.state_za_wc"
100000621,100000621,"PERSERVERANCE PRIMARY SCHOOL","Q4","base.state_za_wc"
100000622,100000622,"BALCO COLLEGE","Q2","base.state_za_wc"
100000623,100000623,"SPLENDID KIDS","Q2","base.state_za_wc"
100000624,100000624,"THE ACADEMY HOUT BAY T/A THE BAY ACADEM","Q2","base.state_za_wc"
100000625,100000625,"VREDEKLOOF PRIMARY","Q5","base.state_za_wc"
100000626,100000626,"KRAAIFONTEIN HIGH SCHOOL","Q5","base.state_za_wc"
100000631,100000631,"SLIMKOPPIES PRIVAATSKOOL","Q2","base.state_za_wc"
100000632,100000632,"STUDY HOUSE","N/A","base.state_za_wc"
100000634,100000634,"OAKLAND ACADEMY","N/A","base.state_za_wc"
100000635,100000635,"GROWING MINDS LEARNING AND THERAPY CENT","Q5","base.state_za_wc"
100000636,100000636,"FUTURE'S ACADEMY","N/A","base.state_za_wc"
100000637,100000637,"BRIGHT STUDENT LEARNING CENTRE - FISH H","N/A","base.state_za_wc"
100000638,100000638,"EMITHINI PRIMARY SCHOOL","Q1","base.state_za_wc"
100000639,100000639,"KWEEKVALLEI KOLLEGE","N/A","base.state_za_wc"
100000640,100000640,"TATE INTERNATIONAL SCHOOL","N/A","base.state_za_wc"
100000641,100000641,"KIDS KINGDOM PRE AND PRIMARY SCHOOL","N/A","base.state_za_wc"
100000642,100000642,"VUURVLIEGIE AKADEMIE","N/A","base.state_za_wc"
100000643,100000643,"LAKESIDE EDUCATION ACADEMY","N/A","base.state_za_wc"
100000644,100000644,"PINELANDS MONTESSORI","N/A","base.state_za_wc"
100000645,100000645,"GENERATION SCHOOL - MELKBOS","N/A","base.state_za_wc"
100000646,100000646,"2 OCEANS EDUCATION OPERATIONS COMPANY (","N/A","base.state_za_wc"
100000647,100000647,"OAKDALE MONTESSORI  SCHOOL","N/A","base.state_za_wc"
100000648,100000648,"JONGA STREET SECONDARY SCHOOL","Q2","base.state_za_wc"
100000649,100000649,"JUPITER STREET PRIMARY SCHOOL","Q4","base.state_za_wc"
100000650,100000650,"MOLO MHLABA PRIMARY SCHOOL","N/A","base.state_za_wc"
100000651,100000651,"CURRO ACADEMY SANDOWN","N/A","base.state_za_wc"
100000652,100000652,"FAIRDALE PRIMARY SCHOOL","Q4","base.state_za_wc"
100000653,100000653,"FAIRDALE HIGH SCHOOL","Q4","base.state_za_wc"
100000654,100000654,"SANDAALHOUT PRIMARY SCHOOL","Q4","base.state_za_wc"
